Episode,Time,Blocks placed,Final Score,,Promedio
1,1.327208757,21,1150,,1241.904
2,1.133768797,21,1334,,
3,1.151392937,21,1408,,
4,1.312936306,21,1228,,
5,1.530225515,21,930,,
6,1.317846298,21,1086,,
7,1.310977936,21,1308,,
8,1.536685944,21,1240,,
9,1.095359564,21,1362,,
10,1.392174006,21,1462,,
11,1.368281841,21,1304,,
12,1.123779058,21,1414,,
13,1.879576683,21,1286,,
14,1.118047476,21,1338,,
15,1.322824717,21,1360,,
16,1.204021454,21,1256,,
17,1.539670467,19,914,,
18,1.241003036,21,1372,,
19,1.516032219,20,1006,,
20,1.184865236,21,1224,,
21,1.30454421,21,1146,,
22,1.183091879,21,1344,,
23,1.684050798,21,1262,,
24,1.223621845,21,1108,,
25,1.11618042,21,1266,,
26,1.501900434,21,1088,,
27,1.20879364,21,1270,,
28,1.173827648,21,1400,,
29,1.378013849,21,1190,,
30,1.303929567,21,1174,,
31,1.239850283,21,1342,,
32,1.280038595,21,1454,,
33,1.510947227,21,1170,,
34,1.388663054,21,1426,,
35,1.26358676,21,1510,,
36,1.38403964,21,1120,,
37,1.150164604,21,1278,,
38,1.381797075,21,1368,,
39,1.573240995,21,1320,,
40,1.383952856,21,1324,,
41,1.383001328,21,1222,,
42,1.331875563,17,942,,
43,1.504371881,21,1248,,
44,1.087796926,21,1382,,
45,1.256703854,21,1186,,
46,1.35832572,21,1154,,
47,1.138153553,21,1314,,
48,1.527684689,21,1284,,
49,1.040325642,21,1374,,
50,1.458339214,21,1252,,
51,1.292466164,21,1456,,
52,1.355240822,21,1142,,
53,1.586778164,21,1136,,
54,1.283609867,21,1058,,
55,1.060343742,21,1530,,
56,1.418663502,21,1288,,
57,1.72417593,21,1006,,
58,1.211364269,21,1392,,
59,1.639955282,21,1182,,
60,1.523288012,21,1012,,
61,1.269816637,21,1308,,
62,1.308894873,21,1032,,
63,1.199547291,21,1370,,
64,1.289357424,21,1074,,
65,1.409499407,21,1390,,
66,1.315167189,17,1030,,
67,1.453879833,21,1154,,
68,1.31391263,21,1170,,
69,1.460542917,21,1006,,
70,1.328187704,21,1216,,
71,1.153493404,21,1356,,
72,1.439990044,21,1094,,
73,1.348864079,21,1304,,
74,1.299889326,21,1162,,
75,1.363358498,21,1126,,
76,1.259775877,21,1430,,
77,1.415531397,21,1214,,
78,1.327275753,21,1222,,
