Episode,Time,Blocks placed,Final Score,,Promedio
1,1.187209845,21,1294,,1242.636
2,2.819186211,21,1262,,
3,1.310178757,21,1090,,
4,1.518652916,21,1008,,
5,1.293282747,21,1050,,
6,1.467959642,21,1264,,
7,1.261800051,21,1244,,
8,1.281623602,21,1310,,
9,1.258304834,21,1226,,
10,1.33057642,21,1228,,
11,1.383905411,21,1222,,
12,1.055327177,21,1296,,
13,1.080669403,21,1398,,
14,1.538549185,21,1244,,
15,1.455381393,21,1056,,
16,1.150957584,21,1328,,
17,1.194534063,21,1468,,
18,1.483398914,21,1198,,
19,1.221150637,21,1500,,
20,1.401446581,21,1168,,
21,1.44042325,21,1134,,
22,1.254460812,21,1324,,
23,1.287841558,21,1178,,
24,1.195942402,21,1312,,
25,1.331125736,21,1318,,
26,1.369500637,21,1324,,
27,1.249181509,21,1254,,
28,1.370877028,21,1422,,
29,1.2350564,21,1142,,
30,1.24957633,21,1300,,
31,1.314964533,21,1206,,
32,1.398208618,21,1174,,
33,1.18482089,21,1354,,
34,1.224668503,21,1240,,
35,1.368964195,21,1180,,
36,1.209001303,21,1134,,
37,1.449955702,21,1224,,
38,1.155368567,21,1194,,
39,1.601041079,21,1008,,
40,1.343218565,21,1348,,
41,1.322205782,21,1200,,
42,1.532201529,21,1290,,
43,1.551490545,21,1132,,
44,1.244115591,21,1488,,
45,1.500382185,21,1132,,
46,1.182018042,21,1286,,
47,1.347726822,21,1296,,
48,1.134949684,21,1380,,
49,1.467295885,21,1102,,
50,1.151344538,21,1356,,
51,1.236066103,21,1326,,
52,1.101652861,21,1378,,
53,1.446056604,21,1230,,
54,1.238912106,21,1374,,
55,1.70281601,21,982,,
56,1.418691635,21,1134,,
57,1.068163157,21,1438,,
58,1.29982233,21,1394,,
59,1.449541092,21,912,,
60,1.113137484,21,1358,,
61,1.350371122,21,1286,,
62,1.414438248,21,1326,,
63,1.384288073,21,1274,,
64,1.239237309,21,1272,,
65,1.209421873,21,1274,,
66,1.313987494,21,1248,,
67,1.186973572,21,1342,,
68,1.082483768,21,1322,,
69,1.129992723,21,1450,,
70,1.48926568,21,996,,
71,1.444517851,21,1146,,
72,1.111432552,21,1454,,
73,1.423134089,21,1012,,
74,1.28503108,21,1318,,
75,1.294379711,21,1248,,
76,1.666892052,21,1158,,
77,1.548214436,21,1336,,
78,1.255676985,21,1412,,
79,1.523999214,21,1024,,
80,1.126486301,21,1474,,
81,1.357355595,21,1114,,
82,1.349001169,21,1208,,
83,1.411827326,21,1146,,
84,1.360094547,21,1218,,
85,1.562197924,21,1124,,
86,1.522205353,21,1112,,
87,1.210934401,21,1308,,
88,1.212899208,21,1316,,
89,1.338530302,21,1356,,
90,1.313684464,21,1384,,
91,1.45149684,21,1102,,
92,1.294268131,21,1220,,
93,1.451619864,20,1030,,
94,1.268584967,21,1054,,
95,1.285955429,21,1276,,
96,1.357880831,21,1258,,
97,1.357195854,21,1304,,
98,1.358240604,21,1110,,
99,1.305992126,21,1234,,
100,1.235574007,21,1324,,
101,1.360243082,21,1294,,
102,1.356047392,21,1364,,
103,1.41235733,21,1374,,
104,1.369973421,21,1114,,
105,1.534569025,21,1152,,
106,1.373357296,21,946,,
107,1.538808823,21,1268,,
108,1.365827322,21,1224,,
109,1.101501942,21,1314,,
110,1.365948677,21,1184,,
111,1.30074048,21,1046,,
112,1.215137243,21,1426,,
113,1.302671432,21,1304,,
114,1.53768301,20,1024,,
115,1.495986938,21,1166,,
116,1.116746664,21,1376,,
117,1.074050665,21,1272,,
118,1.16597867,21,1310,,
119,1.47586441,21,1044,,
120,1.096273661,21,1274,,
121,1.362505674,21,1038,,
122,1.307373762,21,1132,,
123,1.160508633,21,1392,,
124,1.353755474,21,1428,,
125,1.330970287,21,1184,,
126,1.365624666,21,1434,,
127,1.401201487,21,1060,,
128,1.143839836,21,1378,,
129,1.659511566,21,944,,
130,1.391129017,21,1326,,
131,1.493488073,21,1238,,
132,1.196646929,21,1422,,
133,1.115981817,21,1388,,
134,1.184371233,21,1348,,
135,1.429932356,21,996,,
136,1.161132097,21,1340,,
137,1.424222469,21,1110,,
138,1.333752394,21,1228,,
139,1.610609293,21,1086,,
140,1.276156425,21,1352,,
141,1.51531148,21,1158,,
142,1.130974293,21,1370,,
143,1.284923077,21,1168,,
144,1.418697596,21,1148,,
145,1.262992144,21,1484,,
146,1.420073509,21,1234,,
147,1.143924713,21,1340,,
148,1.185689688,21,1488,,
149,1.171440125,21,1366,,
150,1.214001417,21,1442,,
151,1.243501186,21,1248,,
152,1.268609762,21,1324,,
153,1.231000423,21,968,,
154,1.396104097,21,1038,,
155,0.966996193,21,1408,,
156,1.168911457,21,1282,,
157,1.110947132,21,1546,,
158,1.145603895,21,1382,,
159,1.238440514,21,1348,,
160,1.236142635,21,1358,,
161,1.249559402,21,1204,,
162,1.299847126,21,1296,,
163,1.132991314,21,1468,,
164,1.461310387,21,1094,,
165,1.566833019,21,1124,,
166,1.441748381,21,1166,,
167,1.330345392,21,1216,,
168,1.364675045,21,1078,,
169,1.128886938,21,1448,,
170,1.447355747,21,1134,,
171,1.188193798,21,1330,,
172,1.243848801,21,1246,,
173,1.07201457,21,1494,,
174,1.278372765,21,1426,,
175,1.116942167,21,1368,,
176,1.564249992,21,1256,,
177,1.101368904,21,1268,,
178,1.36703968,21,1120,,
179,1.467361212,20,884,,
180,1.401345491,21,1294,,
181,1.420000315,21,1310,,
182,1.117295027,21,1366,,
183,1.43260026,21,1382,,
184,1.100861073,21,1424,,
185,1.177907467,21,1354,,
186,1.222105503,21,1406,,
187,1.172617674,21,1228,,
188,1.018105745,21,1300,,
189,1.519871712,21,1130,,
190,1.289870501,21,1142,,
191,1.367031574,21,1344,,
192,1.210542202,21,1394,,
193,1.246110439,21,1114,,
194,1.512808084,21,1228,,
195,1.206016302,21,1160,,
196,1.132055759,21,1314,,
197,1.349634886,21,1192,,
198,1.076218843,21,1404,,
199,1.441153765,21,1188,,
200,1.276222944,21,1228,,
201,1.15961647,21,1398,,
202,1.392539263,21,1182,,
