Episode,Time,Blocks placed,Final Score
1,1.1872098445892334,21,1294
2,2.819186210632324,21,1262
3,1.3101787567138672,21,1090
4,1.5186529159545898,21,1008
5,1.2932827472686768,21,1050
6,1.4679596424102783,21,1264
7,1.2618000507354736,21,1244
8,1.2816236019134521,21,1310
9,1.2583048343658447,21,1226
10,1.3305764198303223,21,1228
11,1.3839054107666016,21,1222
12,1.0553271770477295,21,1296
13,1.0806694030761719,21,1398
14,1.5385491847991943,21,1244
15,1.4553813934326172,21,1056
16,1.1509575843811035,21,1328
17,1.1945340633392334,21,1468
18,1.4833989143371582,21,1198
19,1.2211506366729736,21,1500
20,1.4014465808868408,21,1168
21,1.4404232501983643,21,1134
22,1.2544608116149902,21,1324
23,1.287841558456421,21,1178
24,1.1959424018859863,21,1312
25,1.3311257362365723,21,1318
26,1.3695006370544434,21,1324
27,1.2491815090179443,21,1254
28,1.3708770275115967,21,1422
29,1.2350564002990723,21,1142
30,1.2495763301849365,21,1300
31,1.3149645328521729,21,1206
32,1.3982086181640625,21,1174
33,1.1848208904266357,21,1354
34,1.2246685028076172,21,1240
35,1.3689641952514648,21,1180
36,1.2090013027191162,21,1134
37,1.449955701828003,21,1224
38,1.1553685665130615,21,1194
39,1.6010410785675049,21,1008
40,1.3432185649871826,21,1348
41,1.3222057819366455,21,1200
42,1.5322015285491943,21,1290
43,1.5514905452728271,21,1132
44,1.2441155910491943,21,1488
45,1.5003821849822998,21,1132
46,1.1820180416107178,21,1286
47,1.347726821899414,21,1296
48,1.1349496841430664,21,1380
49,1.4672958850860596,21,1102
50,1.1513445377349854,21,1356
51,1.2360661029815674,21,1326
52,1.1016528606414795,21,1378
53,1.446056604385376,21,1230
54,1.2389121055603027,21,1374
55,1.7028160095214844,21,982
56,1.418691635131836,21,1134
57,1.0681631565093994,21,1438
58,1.2998223304748535,21,1394
59,1.4495410919189453,21,912
60,1.1131374835968018,21,1358
61,1.3503711223602295,21,1286
62,1.414438247680664,21,1326
63,1.3842880725860596,21,1274
64,1.2392373085021973,21,1272
65,1.2094218730926514,21,1274
66,1.3139874935150146,21,1248
67,1.1869735717773438,21,1342
68,1.0824837684631348,21,1322
69,1.1299927234649658,21,1450
70,1.4892656803131104,21,996
71,1.4445178508758545,21,1146
72,1.1114325523376465,21,1454
73,1.4231340885162354,21,1012
74,1.2850310802459717,21,1318
75,1.294379711151123,21,1248
76,1.6668920516967773,21,1158
77,1.5482144355773926,21,1336
78,1.2556769847869873,21,1412
79,1.5239992141723633,21,1024
80,1.1264863014221191,21,1474
81,1.3573555946350098,21,1114
82,1.349001169204712,21,1208
83,1.4118273258209229,21,1146
84,1.3600945472717285,21,1218
85,1.5621979236602783,21,1124
86,1.5222053527832031,21,1112
87,1.2109344005584717,21,1308
88,1.2128992080688477,21,1316
89,1.3385303020477295,21,1356
90,1.3136844635009766,21,1384
91,1.4514968395233154,21,1102
92,1.2942681312561035,21,1220
93,1.4516198635101318,20,1030
94,1.268584966659546,21,1054
95,1.2859554290771484,21,1276
96,1.3578808307647705,21,1258
97,1.3571958541870117,21,1304
98,1.3582406044006348,21,1110
99,1.3059921264648438,21,1234
100,1.2355740070343018,21,1324
101,1.3602430820465088,21,1294
102,1.3560473918914795,21,1364
103,1.4123573303222656,21,1374
104,1.3699734210968018,21,1114
105,1.5345690250396729,21,1152
